Submatrix Pattern,Noise,RF,Loss,Percent.of.Maximum.MI.per.RF,Which.Loss
8,0.2,4,3.429106,0.00865,Loss at 5 Epochs
8,0.2,4,2.869069,0.00865,Loss at 5 Epochs
8,0.2,4,3.574259,0.00865,Loss at 5 Epochs
8,0.2,4,3.598345,0.00865,Loss at 5 Epochs
8,0.2,4,2.959063,0.00865,Loss at 5 Epochs
8,0.2,4,3.254876,0.00865,Loss at 5 Epochs
8,0.2,4,2.769686,0.00865,Loss at 5 Epochs
8,0.2,4,3.278231,0.00865,Loss at 5 Epochs
8,0.2,4,2.879507,0.00865,Loss at 5 Epochs
8,0.2,8,1.733675,0.032226,Loss at 5 Epochs
8,0.2,8,2.685818,0.032226,Loss at 5 Epochs
8,0.2,8,2.053215,0.032226,Loss at 5 Epochs
8,0.2,8,1.98677,0.032226,Loss at 5 Epochs
8,0.2,8,1.654116,0.032226,Loss at 5 Epochs
8,0.2,8,1.739134,0.032226,Loss at 5 Epochs
8,0.2,8,1.963768,0.032226,Loss at 5 Epochs
8,0.2,8,2.402625,0.032226,Loss at 5 Epochs
8,0.2,8,2.343622,0.032226,Loss at 5 Epochs
8,0.2,8,2.052924,0.032226,Loss at 5 Epochs
8,0.3,2,3.922605,0.000832,Loss at 5 Epochs
8,0.3,2,4.074983,0.000832,Loss at 5 Epochs
8,0.3,2,4.593523,0.000832,Loss at 5 Epochs
8,0.3,2,3.825558,0.000832,Loss at 5 Epochs
8,0.3,2,3.989305,0.000832,Loss at 5 Epochs
8,0.3,2,4.164897,0.000832,Loss at 5 Epochs
8,0.3,2,3.785916,0.000832,Loss at 5 Epochs
8,0.3,2,3.822977,0.000832,Loss at 5 Epochs
8,0.3,2,3.606001,0.000832,Loss at 5 Epochs
8,0.3,2,3.713538,0.000832,Loss at 5 Epochs
8,0.3,4,4.181834,0.003805,Loss at 5 Epochs
8,0.3,4,4.438476,0.003805,Loss at 5 Epochs
8,0.3,4,4.341846,0.003805,Loss at 5 Epochs
8,0.3,4,4.668795,0.003805,Loss at 5 Epochs
8,0.3,4,4.592968,0.003805,Loss at 5 Epochs
8,0.3,4,4.431678,0.003805,Loss at 5 Epochs
8,0.3,4,4.624091,0.003805,Loss at 5 Epochs
8,0.3,4,4.347293,0.003805,Loss at 5 Epochs
8,0.3,4,4.135108,0.003805,Loss at 5 Epochs
8,0.3,4,4.767806,0.003805,Loss at 5 Epochs
8,0.3,8,3.342996,0.013259,Loss at 5 Epochs
8,0.3,8,4.364931,0.013259,Loss at 5 Epochs
8,0.3,8,3.765777,0.013259,Loss at 5 Epochs
8,0.3,8,3.669261,0.013259,Loss at 5 Epochs
8,0.3,8,3.583647,0.013259,Loss at 5 Epochs
8,0.3,8,3.962431,0.013259,Loss at 5 Epochs
8,0.3,8,3.454137,0.013259,Loss at 5 Epochs
8,0.3,8,3.498713,0.013259,Loss at 5 Epochs
8,0.3,8,3.522103,0.013259,Loss at 5 Epochs
8,0.3,8,3.357472,0.013259,Loss at 5 Epochs
8,0.4,2,5.40266,0.000239,Loss at 5 Epochs
8,0.4,2,5.38464,0.000239,Loss at 5 Epochs
8,0.4,2,5.406793,0.000239,Loss at 5 Epochs
8,0.4,2,5.458575,0.000239,Loss at 5 Epochs
8,0.4,2,5.37128,0.000239,Loss at 5 Epochs
8,0.4,2,5.370381,0.000239,Loss at 5 Epochs
8,0.4,2,5.375985,0.000239,Loss at 5 Epochs
8,0.4,2,5.411631,0.000239,Loss at 5 Epochs
8,0.4,2,5.428318,0.000239,Loss at 5 Epochs
8,0.4,2,5.348377,0.000239,Loss at 5 Epochs
8,0.4,4,5.487591,0.00176,Loss at 5 Epochs
8,0.4,4,5.479703,0.00176,Loss at 5 Epochs
8,0.4,4,5.360513,0.00176,Loss at 5 Epochs
8,0.4,4,5.497611,0.00176,Loss at 5 Epochs
8,0.4,4,5.531645,0.00176,Loss at 5 Epochs
8,0.4,4,5.534792,0.00176,Loss at 5 Epochs
8,0.4,4,5.45195,0.00176,Loss at 5 Epochs
8,0.4,4,5.505302,0.00176,Loss at 5 Epochs
8,0.4,4,5.514963,0.00176,Loss at 5 Epochs
8,0.4,4,5.474071,0.00176,Loss at 5 Epochs
8,0.4,8,5.483935,0.00635,Loss at 5 Epochs
8,0.4,8,5.379678,0.00635,Loss at 5 Epochs
8,0.4,8,5.501618,0.00635,Loss at 5 Epochs
8,0.4,8,5.253589,0.00635,Loss at 5 Epochs
8,0.4,8,5.530921,0.00635,Loss at 5 Epochs
8,0.4,8,5.304099,0.00635,Loss at 5 Epochs
8,0.4,8,5.251498,0.00635,Loss at 5 Epochs
8,0.4,8,5.444269,0.00635,Loss at 5 Epochs
8,0.4,8,5.325069,0.00635,Loss at 5 Epochs
8,0.4,8,5.169823,0.00635,Loss at 5 Epochs
2,0,2,0.002435,0.337617,Loss at 25 Epochs
2,0,2,0.002774,0.337617,Loss at 25 Epochs
2,0,2,0.002481,0.337617,Loss at 25 Epochs
2,0,2,0.002601,0.337617,Loss at 25 Epochs
2,0,2,0.002156,0.337617,Loss at 25 Epochs
2,0,2,0.003753,0.337617,Loss at 25 Epochs
2,0,2,0.002093,0.337617,Loss at 25 Epochs
2,0,2,0.003282,0.337617,Loss at 25 Epochs
2,0,2,0.004498,0.337617,Loss at 25 Epochs
2,0,2,0.003027,0.337617,Loss at 25 Epochs
2,0,4,0.004702,0.067614,Loss at 25 Epochs
2,0,4,0.003626,0.067614,Loss at 25 Epochs
2,0,4,0.00357,0.067614,Loss at 25 Epochs
2,0,4,0.00402,0.067614,Loss at 25 Epochs
2,0,4,0.00336,0.067614,Loss at 25 Epochs
